1,1,1,2,1,1,2022,Весенний
2,1,1,1,1,2,2022,Весенний
3,1,2,1,2,2,2022,Весенний
4,1,2,2,2,2,2022,Весенний
5,1,6,1,3,4,2022,Весенний
6,1,13,1,4,2,2022,Весенний
7,1,13,2,5,2,2022,Весенний
8,1,4,2,6,4,2022,Весенний
9,1,3,2,7,2,2022,Весенний
10,1,3,1,7,1,2022,Весенний
11,1,7,2,4,2,2022,Весенний
12,1,9,2,8,1,2022,Весенний
13,1,10,2,9,1,2022,Весенний
14,1,9,1,10,2,2022,Весенний
15,1,11,2,11,2,2022,Весенний
16,1,12,1,1,1,2022,Весенний
17,1,7,1,14,2,2022,Весенний
18,1,10,1,9,2,2022,Весенний
19,2,1,2,1,1,2022,Весенний
20,2,1,1,1,2,2022,Весенний
21,2,2,1,2,2,2022,Весенний
22,2,3,2,7,2,2022,Весенний
23,2,6,1,3,4,2022,Весенний
24,2,5,2,12,2,2022,Весенний
25,2,2,2,2,2,2022,Весенний
26,2,4,2,6,4,2022,Весенний
27,2,8,1,13,2,2022,Весенний
28,2,3,1,7,1,2022,Весенний
29,2,7,2,4,2,2022,Весенний
30,2,7,1,14,2,2022,Весенний
31,2,9,2,8,1,2022,Весенний
32,2,9,1,10,2,2022,Весенний
33,2,5,1,12,2,2022,Весенний
34,2,12,1,1,1,2022,Весенний
35,2,8,2,13,1,2022,Весенний
36,3,14,1,18,2,2022,Весенний
37,3,14,2,15,2,2022,Весенний
38,3,2,1,2,2,2022,Весенний
39,3,2,2,2,3,2022,Весенний
40,3,6,1,3,4,2022,Весенний
41,3,13,1,4,2,2022,Весенний
42,3,13,2,5,3,2022,Весенний
43,3,15,1,16,3,2022,Весенний
44,3,15,2,21,2,2022,Весенний
45,3,4,2,6,4,2022,Весенний
46,3,16,1,17,2,2022,Весенний
47,3,16,2,17,1,2022,Весенний
48,3,7,1,14,2,2022,Весенний
49,3,7,2,4,2,2022,Весенний
50,3,12,1,1,1,2022,Весенний
51,3,17,2,19,2,2022,Весенний
52,4,18,1,23,2,2022,Весенний
53,4,18,2,23,2,2022,Весенний
54,4,1,1,1,2,2022,Весенний
55,4,1,2,1,1,2022,Весенний
56,4,2,1,2,2,2022,Весенний
57,4,2,2,2,3,2022,Весенний
58,4,6,1,3,4,2022,Весенний
59,4,15,1,16,3,2022,Весенний
60,4,15,2,21,2,2022,Весенний
61,4,4,2,6,4,2022,Весенний
62,4,16,1,17,2,2022,Весенний
63,4,16,2,17,1,2022,Весенний
64,4,7,1,14,2,2022,Весенний
65,4,7,2,4,2,2022,Весенний
66,4,19,1,22,2,2022,Весенний
67,4,19,2,20,1,2022,Весенний
68,5,20,2,24,4,2022,Весенний
69,5,9,2,25,2,2022,Весенний
70,5,9,1,30,2,2022,Весенний
71,5,3,2,26,2,2022,Весенний
72,5,3,1,26,1,2022,Весенний
73,5,4,2,27,5,2022,Весенний
74,5,18,2,28,1,2022,Весенний
